================================================================================
Ciąg liczb przypisanych do kwadratu (voxela) o położeniu (0,0,0)
================================================================================

Znaleziono 3,302 trójek (0,0,0) w ciągu π

Format: [pozycja_trójki] wartość_3-cyfrowa | kontekst_przed ... (0,0,0) ... kontekst_po
[ 349,271] 000 | ...61673 (0,0,0) 15909...
[ 351,114] 000 | ...34305 (0,0,0) 61416...
[ 351,217] 000 | ...60588 (0,0,0) 40584...
[ 351,929] 000 | ...23248 (0,0,0) 62814...
[ 353,557] 000 | ...82276 (0,0,0) 83507...
[ 353,962] 000 | ...49847 (0,0,0) 76147...
[ 354,129] 000 | ...37964 (0,0,0) 17590...
[ 354,599] 000 | ...56987 (0,0,0) 66128...
[ 354,819] 000 | ...87464 (0,0,0) 98719...
[ 355,151] 000 | ...86007 (0,0,0) 34677...
[ 355,492] 000 | ...78276 (0,0,0) 40384...
[ 357,501] 000 | ...29692 (0,0,0) 91235...
[ 357,534] 000 | ...55948 (0,0,0) 97569...
[ 360,115] 000 | ...15469 (0,0,0) 67290...
[ 360,161] 000 | ...49463 (0,0,0) 05934...
[ 361,173] 000 | ...71735 (0,0,0) 29854...
[ 362,280] 000 | ...71832 (0,0,0) 35819...
[ 363,032] 000 | ...72159 (0,0,0) 21555...
[ 366,258] 000 | ...96727 (0,0,0) 12772...
[ 366,295] 000 | ...34638 (0,0,0) 75051...
[ 366,415] 000 | ...57158 (0,0,0) 10382...
[ 367,491] 000 | ...69544 (0,0,0) 19909...
[ 367,509] 000 | ...03148 (0,0,0) 32973...
[ 368,137] 000 | ...08865 (0,0,0) 85815...
[ 368,922] 000 | ...82823 (0,0,0) 17476...
[ 370,775] 000 | ...71452 (0,0,0) 29675...
[ 371,020] 000 | ...17121 (0,0,0) 79339...
[ 371,406] 000 | ...36379 (0,0,0) 32628...
[ 373,997] 000 | ...24436 (0,0,0) 27164...
[ 374,108] 000 | ...78250 (0,0,0) 30083...
[ 375,990] 000 | ...79189 (0,0,0) 92661...
[ 376,722] 000 | ...08272 (0,0,0) 44437...
[ 379,627] 000 | ...66868 (0,0,0) 44134...
[ 383,354] 000 | ...91191 (0,0,0) 26759...
[ 385,085] 000 | ...48717 (0,0,0) 39460...
[ 385,635] 000 | ...97276 (0,0,0) 79251...
[ 386,298] 000 | ...00334 (0,0,0) 76965...
[ 386,466] 000 | ...68881 (0,0,0) 98642...
[ 388,643] 000 | ...44665 (0,0,0) 08324...
[ 389,019] 000 | ...86075 (0,0,0) 77208...
[ 389,763] 000 | ...66703 (0,0,0) 74174...
[ 389,885] 000 | ...85328 (0,0,0) 87527...
[ 391,176] 000 | ...82761 (0,0,0) 01304...
[ 393,223] 000 | ...46670 (0,0,0) 46603...
[ 395,078] 000 | ...15170 (0,0,0) 14474...
[ 397,083] 000 | ...64497 (0,0,0) 57971...
[ 397,200] 000 | ...50037 (0,0,0) 41303...
[ 397,870] 000 | ...68905 (0,0,0) 29292...
[ 401,351] 000 | ...74922 (0,0,0) 48019...
[ 402,785] 000 | ...41446 (0,0,0) 24333...
[ 403,107] 000 | ...65971 (0,0,0) 32425...
[ 404,422] 000 | ...55349 (0,0,0) 33336...
[ 404,646] 000 | ...90751 (0,0,0) 13413...
[ 404,889] 000 | ...12671 (0,0,0) 77171...
[ 405,496] 000 | ...42514 (0,0,0) 68594...
[ 405,682] 000 | ...53745 (0,0,0) 18130...
[ 406,556] 000 | ...60535 (0,0,0) 58178...
[ 407,168] 000 | ...80745 (0,0,0) 48253...
[ 408,352] 000 | ...11015 (0,0,0) 92750...

--- 400 / 3,302 ---

[ 409,620] 000 | ...73399 (0,0,0) 64646...
[ 409,782] 000 | ...25851 (0,0,0) 42720...
[ 409,967] 000 | ...30679 (0,0,0) 77007...
[ 411,305] 000 | ...31563 (0,0,0) 03864...
[ 411,649] 000 | ...22371 (0,0,0) 49406...
[ 412,745] 000 | ...44309 (0,0,0) 42515...
[ 414,354] 000 | ...30741 (0,0,0) 87207...
[ 415,297] 000 | ...52343 (0,0,0) 14997...
[ 416,310] 000 | ...91162 (0,0,0) 90609...
[ 416,354] 000 | ...42862 (0,0,0) 77246...
[ 418,777] 000 | ...15935 (0,0,0) 83514...
[ 419,301] 000 | ...55320 (0,0,0) 70627...
[ 419,628] 000 | ...03135 (0,0,0) 58339...
[ 421,267] 000 | ...79002 (0,0,0) 39858...
[ 423,841] 000 | ...48953 (0,0,0) 87730...
[ 427,772] 000 | ...04129 (0,0,0) 64895...
[ 428,411] 000 | ...18764 (0,0,0) 27066...
[ 429,529] 000 | ...50312 (0,0,0) 64931...
[ 429,578] 000 | ...93560 (0,0,0) 30296...
[ 429,711] 000 | ...20252 (0,0,0) 86300...
[ 429,713] 000 | ...00863 (0,0,0) 08338...
[ 429,950] 000 | ...63439 (0,0,0) 39943...
[ 430,119] 000 | ...95901 (0,0,0) 96769...
[ 432,398] 000 | ...12498 (0,0,0) 41518...
[ 432,959] 000 | ...14031 (0,0,0) 49807...
[ 433,530] 000 | ...35697 (0,0,0) 83734...
